,train_accuracy,test_accuracy
0,73.47948325563188,73.85053380782918
1,73.8104558881099,73.48042704626334
2,73.91010356240436,74.36298932384342
3,74.24819388590342,73.95017793594306
4,74.16278159365102,74.0355871886121
5,74.49731307163955,74.77580071174377
6,74.39766539734511,73.99288256227759
7,74.55069575429731,75.1459074733096
8,74.5934019004235,74.20640569395017
9,74.62899035552867,73.83629893238434
0,77.46539022741023,79.44483985765125
1,79.9565820847717,80.46975088967972
2,81.30538453325741,81.28113879003558
3,82.0634186269974,81.38078291814946
4,82.88195309441618,81.87900355871886
5,83.46916260365137,81.52313167259787
6,84.17381401473362,81.28113879003558
7,84.78949428805295,81.87900355871886
8,85.22011459482543,81.69395017793595
9,85.82511833161323,80.64056939501779
10,86.33047439410655,80.81138790035587
11,86.83583045659988,82.04982206405694
12,87.34830421011424,81.76512455516014
13,87.85366027260757,79.24555160142349
14,88.46578170041639,81.32384341637011
15,89.12416811986192,78.91814946619218
16,89.80390761237055,77.32384341637011
17,90.08505640770134,78.51957295373666
18,90.56194170611053,75.7864768683274
19,91.30574041780847,79.72953736654804
20,91.8787145450016,79.9288256227758
21,92.44101213566319,77.50889679715303
22,92.67589593935728,80.64056939501779
23,92.98907434428271,76.88256227758008
24,93.30937044022919,74.91814946619218
25,93.71151998291754,80.31316725978648
26,94.1136695256059,75.08896797153025
27,94.27381757357914,80.0
28,94.85035054628278,78.51957295373666
29,94.81832093668814,80.75444839857651
